Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
5/27/2014,87.982857,89.408569,87.947144,89.375717,80.948952,87216500
5/28/2014,89.431427,89.975716,89.111427,89.144287,80.739334,78870400
5/29/2014,89.692856,90.98143,89.681427,90.76857,82.21048,94118500
5/30/2014,91.139999,92.024284,89.842857,90.428574,81.902557,141005200
6/2/2014,90.565712,90.690002,88.928574,89.807144,81.339699,92337700
6/3/2014,89.779999,91.248573,89.75,91.077141,82.489952,73177300
6/4/2014,91.062859,92.555717,90.872856,92.117142,83.431915,83870500
6/5/2014,92.314285,92.767143,91.80143,92.478569,83.75927,75951400
6/6/2014,92.842857,93.03714,92.067146,92.224289,83.528938,87484600
6/9/2014,92.699997,93.879997,91.75,93.699997,84.865509,75415000
6/10/2014,94.730003,95.050003,93.57,94.25,85.363655,62777000
6/11/2014,94.129997,94.760002,93.470001,93.860001,85.010437,45681000
6/12/2014,94.040001,94.120003,91.900002,92.290001,83.58847,54749000
6/13/2014,92.199997,92.440002,90.879997,91.279999,82.673691,54525000
6/16/2014,91.510002,92.75,91.449997,92.199997,83.506935,35561000
6/17/2014,92.309998,92.699997,91.800003,92.080002,83.39827,29726000
6/18/2014,92.269997,92.290001,91.349998,92.18,83.488853,33514000
6/19/2014,92.290001,92.300003,91.339996,91.860001,83.199013,35528000
6/20/2014,91.849998,92.550003,90.900002,90.910004,82.338593,100898000
6/23/2014,91.32,91.620003,90.599998,90.830002,82.266121,43694000
6/24/2014,90.75,91.739998,90.190002,90.279999,81.76796,39036000
6/25/2014,90.209999,90.699997,89.650002,90.360001,81.840439,36869000
6/26/2014,90.370003,91.050003,89.800003,90.900002,82.329529,32629000
6/27/2014,90.82,92,90.769997,91.980003,83.307701,64029000
6/30/2014,92.099998,93.730003,92.089996,92.93,84.168129,49482300
7/1/2014,93.519997,94.07,93.129997,93.519997,84.702461,38223000
7/2/2014,93.870003,94.059998,93.089996,93.480003,84.666267,28465000
7/3/2014,93.669998,94.099998,93.199997,94.029999,85.164391,22891800
7/7/2014,94.139999,95.989998,94.099998,95.970001,86.921494,56468000
7/8/2014,96.269997,96.800003,93.919998,95.349998,86.359947,65222000
7/9/2014,95.440002,95.949997,94.760002,95.389999,86.396164,36436000
7/10/2014,93.760002,95.550003,93.519997,95.040001,86.079193,39686000
7/11/2014,95.360001,95.889999,94.860001,95.220001,86.24221,34018000
7/14/2014,95.860001,96.889999,95.650002,96.449997,87.356232,42810000
7/15/2014,96.800003,96.849998,95.029999,95.32,86.332787,45477900
7/16/2014,96.970001,97.099998,94.739998,94.779999,85.843697,53396300
7/17/2014,95.029999,95.279999,92.57,93.089996,84.313034,57298000
7/18/2014,93.620003,94.739998,93.019997,94.43,85.526695,49988000
7/21/2014,94.989998,95,93.720001,93.940002,85.082901,39079000
7/22/2014,94.68,94.889999,94.120003,94.720001,85.789352,55197000
7/23/2014,95.419998,97.879997,95.169998,97.190002,88.026482,92918000
7/24/2014,97.040001,97.32,96.419998,97.029999,87.881531,45729000
7/25/2014,96.849998,97.839996,96.639999,97.669998,88.461205,43469000
7/28/2014,97.82,99.239998,97.550003,99.019997,89.683922,55318000
7/29/2014,99.330002,99.440002,98.25,98.379997,89.104279,43143000
7/30/2014,98.440002,98.699997,97.669998,98.150002,88.895943,33010000
7/31/2014,97.160004,97.449997,95.330002,95.599998,86.586395,56843000
8/1/2014,94.900002,96.620003,94.809998,96.129997,87.066406,48511000
8/4/2014,96.370003,96.580002,95.169998,95.589996,86.577316,39958000
8/5/2014,95.360001,95.68,94.360001,95.120003,86.151657,55933000
8/6/2014,94.75,95.480003,94.709999,94.959999,86.006714,38558000
8/7/2014,94.93,95.949997,94.099998,94.480003,85.997597,46711000
8/8/2014,94.260002,94.82,93.279999,94.739998,86.234283,41865000
8/11/2014,95.269997,96.080002,94.839996,95.989998,87.372047,36585000
8/12/2014,96.040001,96.879997,95.610001,95.970001,87.353836,33795000
8/13/2014,96.150002,97.239998,96.040001,97.239998,88.509834,31916000
8/14/2014,97.330002,97.57,96.800003,97.5,88.746475,28116000
8/15/2014,97.900002,98.190002,96.860001,97.980003,89.183418,48951000
8/18/2014,98.489998,99.370003,97.980003,99.160004,90.257462,47572000
8/19/2014,99.410004,100.68,99.32,100.529999,91.504433,69399000
8/20/2014,100.440002,101.089996,99.949997,100.57,91.540871,52699000
8/21/2014,100.57,100.940002,100.110001,100.580002,91.549965,33478000
8/22/2014,100.290001,101.470001,100.190002,101.32,92.223526,44184000
8/25/2014,101.790001,102.169998,101.279999,101.540001,92.42379,40270000
8/26/2014,101.419998,101.5,100.860001,100.889999,91.832115,33152000
8/27/2014,101.019997,102.57,100.699997,102.129997,92.9608,52369000
8/28/2014,101.589996,102.779999,101.559998,102.25,93.070038,68460000
8/29/2014,102.860001,102.900002,102.199997,102.5,93.297585,44595000
9/2/2014,103.059998,103.739998,102.720001,103.300003,94.025787,53564000
9/3/2014,103.099998,103.199997,98.580002,98.940002,90.05722,125421000
9/4/2014,98.849998,100.089996,97.790001,98.120003,89.310822,85718000
9/5/2014,98.800003,99.389999,98.309998,98.970001,90.084518,58457000
9/8/2014,99.300003,99.309998,98.050003,98.360001,89.529274,46356700
9/9/2014,99.080002,103.080002,96.139999,97.989998,89.19249,189846300
9/10/2014,98.010002,101.110001,97.760002,101,91.932259,100869600
9/11/2014,100.410004,101.440002,99.620003,101.43,92.323639,62353100
9/12/2014,101.209999,102.190002,101.080002,101.660004,92.533028,62626100
9/15/2014,102.809998,103.050003,101.440002,101.629997,92.505692,61316500
9/16/2014,99.800003,101.260002,98.889999,100.860001,91.804832,66908100
9/17/2014,101.269997,101.800003,100.589996,101.580002,92.460182,60926500
9/18/2014,101.93,102.349998,101.559998,101.790001,92.651321,37299400
9/19/2014,102.290001,102.349998,100.5,100.959999,91.895859,70902400
9/22/2014,101.800003,102.139999,100.580002,101.059998,91.986862,52788400
9/23/2014,100.599998,102.940002,100.540001,102.639999,93.425018,63402200
9/24/2014,102.160004,102.849998,101.199997,101.75,92.614929,60171800
9/25/2014,100.510002,100.709999,97.720001,97.870003,89.083282,100092000
9/26/2014,98.529999,100.75,98.400002,100.75,91.70472,62370500
9/29/2014,98.650002,100.440002,98.629997,100.110001,91.122177,49766300
9/30/2014,100.809998,101.540001,100.529999,100.75,91.70472,55264100
10/1/2014,100.589996,100.690002,98.699997,99.18,90.275642,51491300
10/2/2014,99.269997,100.220001,98.040001,99.900002,90.931023,47757800
10/3/2014,99.440002,100.209999,99.040001,99.620003,90.676155,43469600
10/6/2014,99.949997,100.650002,99.419998,99.620003,90.676155,37051200
10/7/2014,99.43,100.120003,98.730003,98.75,89.884239,42094200
10/8/2014,98.760002,101.110001,98.309998,100.800003,91.750206,57404700
10/9/2014,101.540001,102.379997,100.610001,101.019997,91.950462,77376500
10/10/2014,100.690002,102.029999,100.300003,100.730003,91.686493,66331600
10/13/2014,101.330002,101.779999,99.809998,99.809998,90.849098,53583400
10/14/2014,100.389999,100.519997,98.57,98.75,89.884239,63688600
10/15/2014,97.970001,99.150002,95.18,97.540001,88.782898,100933600
10/16/2014,95.550003,97.720001,95.410004,96.260002,87.617805,72154500
10/17/2014,97.5,99,96.809998,97.669998,88.901215,68179700
10/20/2014,98.32,99.959999,98.220001,99.760002,90.803581,77517300
10/21/2014,103.019997,103.019997,101.269997,102.470001,93.270294,94623900
10/22/2014,102.839996,104.110001,102.599998,102.989998,93.743599,68263100
10/23/2014,104.080002,105.050003,103.629997,104.830002,95.418404,71074700
10/24/2014,105.18,105.489998,104.529999,105.220001,95.773392,47053900
10/27/2014,104.849998,105.480003,104.699997,105.110001,95.673256,34187700
10/28/2014,105.400002,106.739998,105.349998,106.739998,97.156906,48060900
10/29/2014,106.650002,107.370003,106.360001,107.339996,97.703041,52687900
10/30/2014,106.959999,107.349998,105.900002,106.980003,97.375374,40654800
10/31/2014,108.010002,108.040001,107.209999,108,98.30378,44639300
11/3/2014,108.220001,110.300003,108.010002,109.400002,99.57811,52282600
11/4/2014,109.360001,109.489998,107.720001,108.599998,98.849945,41574400
11/5/2014,109.099998,109.300003,108.129997,108.860001,99.086578,37435900
11/6/2014,108.599998,108.790001,107.800003,108.699997,99.369965,34968500
11/7/2014,108.75,109.32,108.550003,109.010002,99.653374,33691500
11/10/2014,109.019997,109.330002,108.669998,108.830002,99.488838,27195500
11/11/2014,108.699997,109.75,108.400002,109.699997,100.284142,27442300
