Num,Networth Next Year,Total assets,Net worth,Total income,Change in stock,Total expenses,Profit after tax,PBDITA,PBT,Cash profit,PBDITA as % of total income,PBT as % of total income,PAT as % of total income,Cash profit as % of total income,PAT as % of net worth,Sales,Income from financial services,Other income,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Borrowings,Current liabilities & provisions,Deferred tax liability,Shareholders funds,Cumulative retained profits,Capital employed,TOL/TNW,Total term liabilities / tangible net worth,Contingent liabilities / Net worth (%),Contingent liabilities,Net fixed assets,Investments,Current assets,Net working capital,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Cash to current liabilities (times),Cash to average cost of sales per day,Creditors turnover,Debtors turnover,Finished goods turnover,WIP turnover,Raw material turnover,Shares outstanding,Equity face value,EPS,Adjusted EPS,Total liabilities,PE on BSE
1,8890.6,17512.3,7093.2,24965.2,235.8,23657.8,1543.2,2860.2,2417.2,1872.8,11.46,9.68,6.18,7.5,23.78,24458,158,297.2,423.8,6822.8,,14.9,9965.9,284.9,7093.2,6263.3,7108.1,1.33,0,14.8,1049.7,1900.2,1069.6,13277.5,3588.5,1.18,1.37,0,0.43,68.21,3.62,3.85,200.55,21.78,7.71,42381675,10,35.52,7.1,17512.3,27.31
2,394.3,941,351.5,1527.4,42.7,1454.9,115.2,283,188.4,158.6,18.53,12.33,7.54,10.38,38.08,1504.3,4,15.9,115.5,257.8,,272.5,210,85.2,351.5,247.4,624,1.23,0.34,19.23,67.6,286.4,2.2,563.9,203.5,0.95,1.56,0.78,0.06,5.96,9.8,5.7,14.21,7.49,11.46,11550000,10,9.97,9.97,941,8.17
3,92.2,232.8,100.6,477.3,-5.2,478.7,-6.6,5.8,-6.6,0.3,1.22,-1.38,-1.38,0.06,-6.35,475.6,1.5,0.2,81.4,19.2,,35.4,96.8,,100.6,32.4,136,1.44,0.29,45.83,46.1,38.7,4.3,167.5,59.6,1.11,1.55,0.35,0.21,17.07,5.28,5.07,9.24,0.23,,8149090,10,-0.5,-0.5,232.8,-5.76
4,2.7,2.7,2.7,,,,,,,,0,0,0,0,0,,,,0.5,2.2,,,,,2.7,2.2,2.7,0,0,0,,2.5,,0.2,0.2,,,0,,,0,0,,,0,52404,10,0,0,2.7,NA
5,109,478.5,107.6,1580.5,-17,1558,5.5,31,6.3,11.9,1.96,0.4,0.35,0.75,5.25,1575.1,3.9,0.9,6.2,161.8,,193.1,112.8,4.6,107.6,82.7,300.7,2.83,1.59,34.94,37.6,94.8,7.4,349.7,215.8,1.41,2.54,1.79,0,0,13,9.46,12.68,7.9,17.03,619635,10,7.91,7.91,478.5,NA
6,688.6,2434.4,675.8,2648.6,62.3,2636.4,74.5,200.1,74.5,146.9,7.55,2.81,2.81,5.55,21.78,2639.5,6.4,0.2,33.8,972,,717.1,555.9,54.4,698.2,317.7,1415.3,1.8,0.37,36.28,245.2,864.9,22.7,1296.2,278.5,0.48,1.27,1.09,0.11,15.78,6.5,21.13,10.14,8.38,4.74,1141718,10,30.57,15.28,2434.4,NA
7,246,327.1,245.2,,,,,,,,0,0,0,0,0,,,,78.3,241.2,,7.6,,,315.2,-4.3,322.8,0.03,0.03,0,,,298.4,20.6,20.6,,,0.32,,,0,0,,,0,50070,10,0,0,327.1,NA
8,13.7,80,12.7,153.6,-8.5,144,1.1,9.7,2,4,6.32,1.3,0.72,2.6,9.95,153.4,,,10,-2.4,,29.3,36.6,1.4,12.7,-2.4,42,5.17,0.94,0,,10.2,,62,8,0.54,1.15,2.31,0.04,4.77,3.08,5.53,15.37,11.44,5.92,NA,NA,0,0,80,NA
9,291.5,573.8,238.6,582.6,31,565.3,48.3,110.1,68.5,82.6,18.9,11.76,8.29,14.18,21.65,573.9,7.3,0.7,58.1,200.5,,204.1,75.1,36,258.6,173.8,462.7,1.05,0.3,39.65,94.6,207.4,,328.4,120.4,0.59,1.58,0.94,0.19,28.92,12.52,7.25,5.73,4.62,3.72,3807100,10,12.69,0.63,573.8,11.67
10,-7.3,88.6,19.6,83.4,-6.7,79.1,-2.4,0.3,-14.4,-10.5,0.36,-17.27,-2.88,-12.59,-11.57,83.4,,,50,-30.4,,61.4,2.3,5.3,19.6,-30.4,81,3.25,0.54,0,,24.2,6.8,26.7,-26.4,0.39,0.5,3.13,0,0.84,,3.04,42.66,6.36,5.25,5000000,10,-0.48,-0.48,88.6,-1.88
11,93.3,159.6,86.7,172.9,0.1,169.7,3.3,18.4,3.7,12.6,10.64,2.14,1.91,7.29,3.88,172.1,0.4,,81.4,5.3,,39.5,33.4,,86.7,5.3,126.2,0.82,0.46,8.42,7.3,30.7,,124.6,91.2,3.07,3.73,0.46,0.03,2.45,4.86,1.8,11,8.28,9.88,8162700,10,0.42,0.42,159.6,16.81
12,2371.3,5669.1,2039.6,6910.1,74,6518.7,465.4,960.1,605.1,704.1,13.89,8.76,6.74,10.19,24.74,6834,36.5,6.5,364,1693.9,,2249.2,1165,197,2039.6,1986.7,4288.8,1.51,0.54,42.73,871.6,1861.4,243.4,2315.5,6.6,0.59,1,1.1,0.02,2.77,8.95,5.56,15.28,8.94,13.32,36404712,10,12.16,6.08,5669.1,7.73
13,2164.4,3142.5,1882.8,5303.5,-36.1,4244.9,1022.5,1442.6,1380.9,1067.6,27.2,26.04,19.28,20.13,61.08,4740.1,492.7,62.2,152.8,1730,,21.9,1161.2,76.6,1882.8,1881,1904.7,0.19,0.01,0.55,10.4,315,2099.6,636.9,-514.8,0.29,0.55,0.01,0.11,11.72,12.41,20.06,8.9,1.42,19.98,15280100,10,66.92,66.92,3142.5,9.88
14,-7.4,46.8,3.9,11.8,,13.5,-1.7,0,-1.7,0,0,-14.41,-14.41,0,0,11.6,0.1,0.1,16,-12.1,,41.5,1.4,,3.9,-15.5,45.4,25.24,24.12,0,,42.6,,4,2.1,1.84,2.11,10.64,0.79,40.86,NA,NA,NA,NA,NA,810700,10,-2.1,-2.1,46.8,NA
15,43.6,84.8,42.1,152.1,-6.5,145,0.6,8,1.2,3.6,5.26,0.79,0.39,2.37,0,151.9,0.1,0.1,43.1,-1.5,,24.9,15.8,2,42.1,-1.5,67,0.96,0.03,0,,29.5,0.2,48.5,8.9,0.61,1.22,0.59,0.06,5.73,NA,NA,NA,NA,NA,NA,NA,0,0,84.8,NA
