individualnumber,gender,city_code,dateofbirth
94212124,K,,1946.0
96387515,E,34.0,1974.0
95040383,E,80.0,1980.0
94694434,E,,1970.0
47648671,E,35.0,1963.0
97048907,K,39.0,1990.0
17778912,E,10.0,1979.0
76573182,E,34.0,1972.0
100924435,K,6.0,1997.0
97838136,E,7.0,1994.0
93083043,K,26.0,1977.0
97153946,K,,1995.0
7543731,E,9.0,1954.0
92513129,E,34.0,1965.0
6584005,E,58.0,1965.0
96368938,E,35.0,1988.0
96588131,K,6.0,1976.0
97802328,E,,1990.0
94968624,K,,1992.0
97517534,E,35.0,1967.0
100945969,K,34.0,1979.0
97463414,E,1.0,1979.0
96830326,K,48.0,1988.0
93533093,E,1.0,1971.0
92831590,E,,1991.0
93609950,E,34.0,1947.0
94195484,E,35.0,1977.0
99656913,K,10.0,1979.0
102053516,K,34.0,1974.0
84679649,K,34.0,1983.0
93219995,E,,1988.0
18437755,K,,1967.0
95497876,E,16.0,1953.0
101664907,E,3.0,1992.0
62135774,E,35.0,1962.0
94247198,E,62.0,1976.0
98895927,E,34.0,1988.0
99893684,E,6.0,1985.0
95443287,K,24.0,1980.0
94200113,K,17.0,1996.0
52762336,E,,1982.0
99881204,E,,1991.0
12754115,K,34.0,1973.0
93534092,K,,1941.0
95231945,E,,1976.0
79043828,E,1.0,1973.0
100646085,E,35.0,1978.0
102022194,E,35.0,1985.0
88018808,E,35.0,1965.0
96838034,K,65.0,2000.0
100128905,K,,1992.0
95340593,K,55.0,1996.0
76666822,E,13.0,1985.0
99329806,E,48.0,1994.0
97742498,K,,1992.0
96061815,K,7.0,1977.0
99250400,K,46.0,1993.0
95255824,K,7.0,1985.0
95660196,K,61.0,2000.0
98197034,E,34.0,1992.0
96093137,K,34.0,1995.0
89147481,E,21.0,1978.0
99451342,E,20.0,1973.0
94464515,E,7.0,1986.0
19856116,E,31.0,1983.0
98281946,E,7.0,1992.0
76284371,E,34.0,1965.0
97012283,E,38.0,1968.0
98800880,K,46.0,1992.0
100499263,E,6.0,1999.0
39637312,E,42.0,1959.0
65608072,E,38.0,1980.0
101969950,K,35.0,1970.0
95223829,K,34.0,1999.0
96241305,K,34.0,1993.0
99069768,K,20.0,1970.0
96431317,K,34.0,1979.0
95806875,K,,1998.0
96334190,K,60.0,1993.0
93350524,E,34.0,1975.0
99758057,K,,1994.0
90443307,E,,1980.0
81548549,E,55.0,1987.0
94883508,K,34.0,1998.0
95460314,K,23.0,1995.0
100973396,E,27.0,1999.0
93586540,K,35.0,1991.0
102087122,E,10.0,1956.0
95850738,K,34.0,1980.0
101335312,E,8.0,1997.0
93745373,K,,1970.0
96107697,E,,1987.0
93375463,K,,1979.0
19374132,E,27.0,1973.0
81891623,K,72.0,1994.0
95083716,E,10.0,1976.0
100775798,K,34.0,1990.0
89202743,E,,1985.0
92539965,E,,1983.0
99330479,K,34.0,1986.0
92456521,K,35.0,1992.0
56151190,E,3.0,
99688031,K,34.0,1988.0
100882509,E,32.0,1956.0
56834850,K,35.0,1941.0
94367327,E,2.0,1988.0
99397079,K,34.0,1990.0
21294196,E,59.0,1972.0
97346833,E,,1987.0
93074988,E,,1966.0
97808833,E,28.0,1977.0
99001292,K,26.0,1996.0
96961038,E,35.0,2000.0
100227765,K,61.0,1967.0
100904777,K,60.0,1979.0
94944276,E,55.0,1941.0
98641313,E,59.0,1950.0
95138305,K,6.0,1977.0
100613825,E,35.0,1993.0
92996642,K,,1955.0
100500344,K,16.0,1978.0
100046868,E,10.0,1994.0
88440554,K,63.0,1989.0
88476831,K,,1981.0
99609155,K,34.0,1981.0
88688907,K,34.0,1980.0
95417063,E,,1991.0
95737787,E,,1974.0
99364880,K,34.0,1992.0
97639600,E,33.0,1997.0
96823943,E,,1993.0
101385211,K,35.0,1981.0
98821007,E,40.0,2000.0
848039,K,34.0,1963.0
82129515,K,54.0,1959.0
100832406,K,,2001.0
17451132,E,34.0,1967.0
100938444,K,35.0,1960.0
99743844,E,,1962.0
66148254,E,34.0,1976.0
94139345,E,77.0,1964.0
98997132,K,6.0,2000.0
100698207,K,30.0,1992.0
97617679,K,35.0,1990.0
43596263,E,35.0,1963.0
53801529,K,59.0,1979.0
96739031,E,,1981.0
98424404,E,34.0,1967.0
13568283,E,,1982.0
94736074,E,34.0,1982.0
100260820,K,9.0,2000.0
99288084,E,7.0,1990.0
8947124,K,,1970.0
95754162,K,16.0,1966.0
99291918,E,34.0,1975.0
97459254,K,48.0,1946.0
93713031,E,,1972.0
96389799,E,,1986.0
94190325,K,6.0,1967.0
99891726,E,,1985.0
101128803,E,,1979.0
97522102,K,34.0,1949.0
96798861,E,60.0,1979.0
99489903,E,35.0,1976.0
95594534,K,6.0,1995.0
100106902,K,47.0,1992.0
94109695,K,39.0,1992.0
100976210,K,,1985.0
94539353,E,64.0,1975.0
93829612,E,27.0,1991.0
3283081,E,6.0,1977.0
101236778,E,,1985.0
98766132,E,23.0,1980.0
96496979,K,35.0,1970.0
94842316,K,,1948.0
100932082,K,,1986.0
97081228,K,34.0,1984.0
98262023,E,34.0,1985.0
18549951,E,60.0,1972.0
94561152,E,,1980.0
54261979,E,7.0,1977.0
89982714,K,32.0,1997.0
63545876,K,35.0,1965.0
88812115,K,78.0,1975.0
97316123,K,56.0,1985.0
101521429,E,,1970.0
95455012,K,,1988.0
95169097,K,53.0,2000.0
94310168,K,,1995.0
94232781,K,43.0,1983.0
101035163,E,41.0,1994.0
93561519,K,,1993.0
97541270,K,,1997.0
91862667,E,61.0,1955.0
88602384,E,31.0,1977.0
95028515,K,,1954.0
95824575,K,34.0,1978.0
95875616,E,44.0,1977.0
98250685,K,27.0,2001.0
97403584,E,,1973.0
90001964,E,,1966.0
89049090,K,,1985.0
93086448,E,6.0,1984.0
95278826,K,,1997.0
8942495,E,34.0,1951.0
100754672,E,33.0,1980.0
100180741,K,,1996.0
91927799,K,,1960.0
89442593,E,71.0,1968.0
93407397,K,6.0,1997.0
94521979,E,35.0,1989.0
99793131,E,6.0,1981.0
97682525,E,5.0,1949.0
95926596,K,35.0,1998.0
100086367,K,34.0,1991.0
85711277,E,35.0,1967.0
101765235,E,80.0,1984.0
101092913,K,59.0,1959.0
99168506,K,16.0,1994.0
79031491,K,,1970.0
100648491,K,6.0,1991.0
94134573,E,,1989.0
20566265,E,61.0,1965.0
90204252,K,,1948.0
97336311,K,38.0,1988.0
83431377,K,35.0,1983.0
93379215,E,54.0,1993.0
101525324,K,21.0,1980.0
98666742,E,27.0,1985.0
97268100,E,20.0,1992.0
97696412,K,34.0,1982.0
89181087,E,45.0,1986.0
99266428,K,34.0,2000.0
97640803,K,16.0,1995.0
98496571,K,45.0,1965.0
100995317,E,26.0,1982.0
89473242,K,35.0,1991.0
94111918,E,34.0,1991.0
101826472,E,7.0,1980.0
100532726,E,6.0,1984.0
93380561,K,,1970.0
100269670,K,,1970.0
95922701,K,35.0,1969.0
92414391,E,44.0,1973.0
88575487,K,6.0,1991.0
100023866,K,33.0,1986.0
61813500,K,58.0,1992.0
96288573,E,35.0,1955.0
92640762,K,,1969.0
101263267,K,59.0,1978.0
94129475,E,34.0,1989.0
101162123,E,10.0,1983.0
94971356,E,1.0,1953.0
95524508,K,35.0,1986.0
99337718,E,34.0,1993.0
94052006,E,34.0,1991.0
101565170,K,34.0,1995.0
96081738,K,10.0,1951.0
95335026,K,1.0,1955.0
97664009,E,34.0,1973.0
95158962,E,,1965.0
97461660,K,42.0,1969.0
95425036,E,48.0,1956.0
99436843,E,3.0,1979.0
94697839,K,,1990.0
93280885,K,36.0,1992.0
96664784,K,14.0,1996.0
93758301,E,34.0,1969.0
99936527,K,34.0,1993.0
80720351,K,,1985.0
95098928,K,61.0,1997.0
97884956,E,35.0,1994.0
74700468,E,59.0,1970.0
101639417,E,41.0,1996.0
101388229,E,,1995.0
96714479,E,50.0,1972.0
93007103,K,34.0,1987.0
101856856,K,15.0,1998.0
95333884,K,6.0,1967.0
98856285,K,41.0,1991.0
8877098,E,,1988.0
92786299,K,34.0,1992.0
95142118,E,52.0,1961.0
93617128,K,33.0,1986.0
98864992,K,34.0,1982.0
98095482,E,,1996.0
97005044,E,,1988.0
76369691,K,,1990.0
99750940,K,34.0,1998.0
99303847,K,6.0,1994.0
95529993,E,,1981.0
102112204,E,,2001.0
44006936,E,,1980.0
94263817,K,34.0,1963.0
92345303,K,33.0,1990.0
20757806,K,35.0,1953.0
99946723,E,4.0,1984.0
89777143,K,42.0,1985.0
100133982,E,7.0,1987.0
3325863,K,34.0,1954.0
96579811,K,,1991.0
100194220,K,,1966.0
99166222,K,77.0,1974.0
95945907,K,76.0,1996.0
99554566,E,61.0,1992.0
93301746,E,26.0,1994.0
99852900,E,,1975.0
94849433,K,17.0,1975.0
98350565,K,47.0,1998.0
93783465,K,9.0,1991.0
101451872,K,22.0,1997.0
84207331,K,,1954.0
101215509,K,37.0,1978.0
93364186,K,3.0,1997.0
96149541,K,34.0,1964.0
95683116,E,59.0,1977.0
95526506,K,,1991.0
99107534,K,35.0,1986.0
81555380,E,35.0,1981.0
97336025,E,,1998.0
93854143,E,,1958.0
101519023,E,16.0,1993.0
4876547,K,,1981.0
99866501,K,,1973.0
99976781,E,20.0,1985.0
94709320,E,6.0,1977.0
93527179,K,16.0,1992.0
24732663,K,,1981.0
99549468,E,48.0,2000.0
93455746,E,,1982.0
101959733,K,35.0,1998.0
100200786,K,16.0,1997.0
102246668,E,54.0,1971.0
96778469,K,,1998.0
101510295,E,33.0,1987.0
97351054,E,,1994.0
9358939,E,,1985.0
91239163,K,34.0,1978.0
97255212,K,34.0,1985.0
93570043,E,42.0,1975.0
74174356,E,33.0,1987.0
93976148,E,,1985.0
99676367,E,48.0,1994.0
22248803,K,34.0,1966.0
94009346,K,,1996.0
98702611,K,74.0,1968.0
100715825,E,6.0,1965.0
4517445,K,7.0,1963.0
22140767,E,35.0,1961.0
13801281,K,7.0,1979.0
99300482,K,33.0,1993.0
101778388,K,48.0,1966.0
92927615,E,,1990.0
98919989,E,35.0,1980.0
92954920,E,,1991.0
101662011,K,16.0,1996.0
98675510,E,,1985.0
93420121,E,,1974.0
99554484,E,9.0,1960.0
101759729,E,46.0,1993.0
93851207,K,,1972.0
93351584,E,34.0,1991.0
95838401,K,34.0,1997.0
100444857,K,,1995.0
93771107,K,17.0,1997.0
98071868,E,31.0,1958.0
47485127,K,33.0,1951.0
94117933,E,,1961.0
100954533,K,7.0,2003.0
95912566,K,34.0,1953.0
4266930,E,35.0,1966.0
100526364,K,34.0,1998.0
94638947,E,34.0,1958.0
94920519,E,,1954.0
3558331,E,35.0,1947.0
101581116,E,,1995.0
89674449,E,34.0,1981.0
101065812,E,6.0,1948.0
95013873,K,35.0,1986.0
96204191,E,7.0,1991.0
98300176,E,35.0,1989.0
97457092,E,34.0,1977.0
91343998,E,34.0,1986.0
99676693,K,41.0,1978.0
92620370,K,34.0,1988.0
99209269,K,41.0,1991.0
95553403,K,35.0,1965.0
94889666,K,,1972.0
96199970,K,,1961.0
94625815,K,80.0,1943.0
102010509,E,9.0,2003.0
99283985,E,26.0,1993.0
101627997,E,34.0,2001.0
99577486,E,9.0,2001.0
97145544,K,35.0,1984.0
94067973,E,,1987.0
98822393,K,,1985.0
95930674,K,34.0,1994.0
100847435,E,34.0,1954.0
94277908,E,26.0,1948.0
100025925,E,34.0,1989.0
101365084,E,67.0,2003.0
94734320,K,55.0,1992.0
101773881,K,7.0,1969.0
96196748,K,61.0,1999.0
97891318,E,27.0,1969.0
99755426,K,,1993.0
98545797,K,34.0,2000.0
99774676,E,35.0,1995.0
82098784,K,,1981.0
94739683,E,7.0,1967.0
94848943,K,,1980.0
94629832,E,48.0,1996.0
97642557,E,34.0,1993.0
39299662,E,35.0,1981.0
99215652,E,33.0,1976.0
93837238,K,,1982.0
92890930,E,35.0,1978.0
98400851,E,75.0,1989.0
100134920,E,,1992.0
93709544,K,,1981.0
91456133,E,,1980.0
75330885,K,37.0,1978.0
97633890,E,9.0,1971.0
98228213,E,,1965.0
98046052,K,,1989.0
101995684,K,,1987.0
90156759,K,,1997.0
93828388,E,34.0,1985.0
20475500,K,39.0,1972.0
94892806,E,61.0,1984.0
90347974,E,,1990.0
93318304,K,,1992.0
97982878,E,7.0,1968.0
93817193,K,10.0,1977.0
97633686,E,63.0,2000.0
94986650,E,,1991.0
98567922,E,6.0,1948.0
90658992,E,34.0,1978.0
100334924,K,,1992.0
90620227,E,20.0,1985.0
95504585,E,,1993.0
39911542,E,7.0,1972.0
47872941,E,42.0,1980.0
100115466,K,,1986.0
94758750,K,,1997.0
93629648,K,16.0,1975.0
101009326,E,61.0,1958.0
99098194,E,41.0,1970.0
98272015,E,6.0,1976.0
98534989,E,20.0,1956.0
93095094,K,7.0,1977.0
95184431,K,7.0,1990.0
101985080,K,6.0,1956.0
95971662,E,,1999.0
95874943,E,9.0,1980.0
92672206,K,7.0,1987.0
98592535,K,34.0,1970.0
39798999,K,35.0,1964.0
99674266,K,,1997.0
94281782,E,26.0,1951.0
87621858,K,39.0,1968.0
91162510,K,66.0,1989.0
96718088,K,,1976.0
100651101,K,33.0,1991.0
99721759,E,70.0,2001.0
