category_number,genel_kategori
9052,diger
9053,diger
9054,diger
9055,gida
9056,gida
9057,diger
9058,gida
9059,hijyen
9060,kisisel_bakim
9061,kisisel_bakim
9019,gida
9020,gida
9021,hijyen
9022,hijyen
9024,hijyen
9027,hijyen
9028,diger
9029,kisisel_bakim
9008,gida
9009,gida
9010,gida
9011,gida
9012,gida
9015,gida
9017,gida
9018,gida
9030,kisisel_bakim
9031,kisisel_bakim
9032,kisisel_bakim
9035,gida
9036,gida
9037,gida
9038,gida
9039,gida
9000,icecek
9001,gida
9002,gida
9003,gida
9004,gida
9005,gida
9006,icecek
9007,gida
9040,gida
9041,gida
9042,gida
9043,gida
9044,gida
9046,gida
9048,diger
9049,diger
